target,pred,og_idx,source,AI
0,0,19,res/input/easy1_find_pattern_rot/19.png,res/AI/easy1_find_pattern_rot/19.png
1,1,33,res/input/easy1_find_pattern_rot/33.png,res/AI/easy1_find_pattern_rot/33.png
0,0,10,res/input/easy1_find_pattern_rot/10.png,res/AI/easy1_find_pattern_rot/10.png
0,1,14,res/input/easy1_find_pattern_rot/14.png,res/AI/easy1_find_pattern_rot/14.png
1,1,2,res/input/easy1_find_pattern_rot/2.png,res/AI/easy1_find_pattern_rot/2.png
1,1,21,res/input/easy1_find_pattern_rot/21.png,res/AI/easy1_find_pattern_rot/21.png
0,1,27,res/input/easy1_find_pattern_rot/27.png,res/AI/easy1_find_pattern_rot/27.png
0,0,35,res/input/easy1_find_pattern_rot/35.png,res/AI/easy1_find_pattern_rot/35.png
0,0,17,res/input/easy1_find_pattern_rot/17.png,res/AI/easy1_find_pattern_rot/17.png
1,1,11,res/input/easy1_find_pattern_rot/11.png,res/AI/easy1_find_pattern_rot/11.png
0,0,22,res/input/easy1_find_pattern_rot/22.png,res/AI/easy1_find_pattern_rot/22.png
1,1,6,res/input/easy1_find_pattern_rot/6.png,res/AI/easy1_find_pattern_rot/6.png
1,1,0,res/input/easy1_find_pattern_rot/0.png,res/AI/easy1_find_pattern_rot/0.png
