target,pred,og_idx,source,AI
1,0,9,res/input/easy3_2sym_rot/9.png,res/AI/easy3_2sym_rot/9.png
0,0,27,res/input/easy3_2sym_rot/27.png,res/AI/easy3_2sym_rot/27.png
0,0,65,res/input/easy3_2sym_rot/65.png,res/AI/easy3_2sym_rot/65.png
0,0,52,res/input/easy3_2sym_rot/52.png,res/AI/easy3_2sym_rot/52.png
0,0,42,res/input/easy3_2sym_rot/42.png,res/AI/easy3_2sym_rot/42.png
1,0,46,res/input/easy3_2sym_rot/46.png,res/AI/easy3_2sym_rot/46.png
1,0,57,res/input/easy3_2sym_rot/57.png,res/AI/easy3_2sym_rot/57.png
0,0,14,res/input/easy3_2sym_rot/14.png,res/AI/easy3_2sym_rot/14.png
1,0,99,res/input/easy3_2sym_rot/99.png,res/AI/easy3_2sym_rot/99.png
1,0,88,res/input/easy3_2sym_rot/88.png,res/AI/easy3_2sym_rot/88.png
