target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,14,res/input/easy4_purple_circle_N/14.png,res/AI/easy4_purple_circle_N/14.png,res/xai_shap/easy4_purple_circle_N/14.png,res/xai_cf/easy4_purple_circle_N/14.png
1,1,11,res/input/easy4_purple_circle_N/11.png,res/AI/easy4_purple_circle_N/11.png,res/xai_shap/easy4_purple_circle_N/11.png,res/xai_cf/easy4_purple_circle_N/11.png
0,1,20,res/input/easy4_purple_circle_N/20.png,res/AI/easy4_purple_circle_N/20.png,res/xai_shap/easy4_purple_circle_N/20.png,res/xai_cf/easy4_purple_circle_N/20.png
0,1,19,res/input/easy4_purple_circle_N/19.png,res/AI/easy4_purple_circle_N/19.png,res/xai_shap/easy4_purple_circle_N/19.png,res/xai_cf/easy4_purple_circle_N/19.png
1,1,8,res/input/easy4_purple_circle_N/8.png,res/AI/easy4_purple_circle_N/8.png,res/xai_shap/easy4_purple_circle_N/8.png,res/xai_cf/easy4_purple_circle_N/8.png
0,0,25,res/input/easy4_purple_circle_N/25.png,res/AI/easy4_purple_circle_N/25.png,res/xai_shap/easy4_purple_circle_N/25.png,res/xai_cf/easy4_purple_circle_N/25.png
1,1,6,res/input/easy4_purple_circle_N/6.png,res/AI/easy4_purple_circle_N/6.png,res/xai_shap/easy4_purple_circle_N/6.png,res/xai_cf/easy4_purple_circle_N/6.png
1,1,15,res/input/easy4_purple_circle_N/15.png,res/AI/easy4_purple_circle_N/15.png,res/xai_shap/easy4_purple_circle_N/15.png,res/xai_cf/easy4_purple_circle_N/15.png
0,0,18,res/input/easy4_purple_circle_N/18.png,res/AI/easy4_purple_circle_N/18.png,res/xai_shap/easy4_purple_circle_N/18.png,res/xai_cf/easy4_purple_circle_N/18.png
1,1,38,res/input/easy4_purple_circle_N/38.png,res/AI/easy4_purple_circle_N/38.png,res/xai_shap/easy4_purple_circle_N/38.png,res/xai_cf/easy4_purple_circle_N/38.png
0,0,35,res/input/easy4_purple_circle_N/35.png,res/AI/easy4_purple_circle_N/35.png,res/xai_shap/easy4_purple_circle_N/35.png,res/xai_cf/easy4_purple_circle_N/35.png
1,1,32,res/input/easy4_purple_circle_N/32.png,res/AI/easy4_purple_circle_N/32.png,res/xai_shap/easy4_purple_circle_N/32.png,res/xai_cf/easy4_purple_circle_N/32.png
