target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,8,res/input/easy6_find_pattern/8.png,res/AI/easy6_find_pattern/8.png,res/xai_shap/easy6_find_pattern/8.png,res/xai_cf/easy6_find_pattern/8.png
0,0,18,res/input/easy6_find_pattern/18.png,res/AI/easy6_find_pattern/18.png,res/xai_shap/easy6_find_pattern/18.png,res/xai_cf/easy6_find_pattern/18.png
1,1,15,res/input/easy6_find_pattern/15.png,res/AI/easy6_find_pattern/15.png,res/xai_shap/easy6_find_pattern/15.png,res/xai_cf/easy6_find_pattern/15.png
0,0,20,res/input/easy6_find_pattern/20.png,res/AI/easy6_find_pattern/20.png,res/xai_shap/easy6_find_pattern/20.png,res/xai_cf/easy6_find_pattern/20.png
0,1,14,res/input/easy6_find_pattern/14.png,res/AI/easy6_find_pattern/14.png,res/xai_shap/easy6_find_pattern/14.png,res/xai_cf/easy6_find_pattern/14.png
1,1,26,res/input/easy6_find_pattern/26.png,res/AI/easy6_find_pattern/26.png,res/xai_shap/easy6_find_pattern/26.png,res/xai_cf/easy6_find_pattern/26.png
1,1,2,res/input/easy6_find_pattern/2.png,res/AI/easy6_find_pattern/2.png,res/xai_shap/easy6_find_pattern/2.png,res/xai_cf/easy6_find_pattern/2.png
0,0,17,res/input/easy6_find_pattern/17.png,res/AI/easy6_find_pattern/17.png,res/xai_shap/easy6_find_pattern/17.png,res/xai_cf/easy6_find_pattern/17.png
0,0,16,res/input/easy6_find_pattern/16.png,res/AI/easy6_find_pattern/16.png,res/xai_shap/easy6_find_pattern/16.png,res/xai_cf/easy6_find_pattern/16.png
0,1,3,res/input/easy6_find_pattern/3.png,res/AI/easy6_find_pattern/3.png,res/xai_shap/easy6_find_pattern/3.png,res/xai_cf/easy6_find_pattern/3.png
1,1,0,res/input/easy6_find_pattern/0.png,res/AI/easy6_find_pattern/0.png,res/xai_shap/easy6_find_pattern/0.png,res/xai_cf/easy6_find_pattern/0.png
1,1,5,res/input/easy6_find_pattern/5.png,res/AI/easy6_find_pattern/5.png,res/xai_shap/easy6_find_pattern/5.png,res/xai_cf/easy6_find_pattern/5.png
