target,pred,og_idx,source,AI,xai_shap,xai_cf,xai_llm
1,0,83,res/input/easy_1_6_blue/83.png,res/AI/easy_1_6_blue/83.png,res/xai_shap/easy_1_6_blue/83.png,res/xai_cf/easy_1_6_blue/83.png,res/xai_llm/easy_1_6_blue/83.png
0,0,70,res/input/easy_1_6_blue/70.png,res/AI/easy_1_6_blue/70.png,res/xai_shap/easy_1_6_blue/70.png,res/xai_cf/easy_1_6_blue/70.png,res/xai_llm/easy_1_6_blue/70.png
1,1,96,res/input/easy_1_6_blue/96.png,res/AI/easy_1_6_blue/96.png,res/xai_shap/easy_1_6_blue/96.png,res/xai_cf/easy_1_6_blue/96.png,res/xai_llm/easy_1_6_blue/96.png
0,0,79,res/input/easy_1_6_blue/79.png,res/AI/easy_1_6_blue/79.png,res/xai_shap/easy_1_6_blue/79.png,res/xai_cf/easy_1_6_blue/79.png,res/xai_llm/easy_1_6_blue/79.png
0,1,82,res/input/easy_1_6_blue/82.png,res/AI/easy_1_6_blue/82.png,res/xai_shap/easy_1_6_blue/82.png,res/xai_cf/easy_1_6_blue/82.png,res/xai_llm/easy_1_6_blue/82.png
1,1,67,res/input/easy_1_6_blue/67.png,res/AI/easy_1_6_blue/67.png,res/xai_shap/easy_1_6_blue/67.png,res/xai_cf/easy_1_6_blue/67.png,res/xai_llm/easy_1_6_blue/67.png
1,1,33,res/input/easy_1_6_blue/33.png,res/AI/easy_1_6_blue/33.png,res/xai_shap/easy_1_6_blue/33.png,res/xai_cf/easy_1_6_blue/33.png,res/xai_llm/easy_1_6_blue/33.png
0,0,88,res/input/easy_1_6_blue/88.png,res/AI/easy_1_6_blue/88.png,res/xai_shap/easy_1_6_blue/88.png,res/xai_cf/easy_1_6_blue/88.png,res/xai_llm/easy_1_6_blue/88.png
0,0,50,res/input/easy_1_6_blue/50.png,res/AI/easy_1_6_blue/50.png,res/xai_shap/easy_1_6_blue/50.png,res/xai_cf/easy_1_6_blue/50.png,res/xai_llm/easy_1_6_blue/50.png
1,1,2,res/input/easy_1_6_blue/2.png,res/AI/easy_1_6_blue/2.png,res/xai_shap/easy_1_6_blue/2.png,res/xai_cf/easy_1_6_blue/2.png,res/xai_llm/easy_1_6_blue/2.png
