target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,20,res/input/easy_3_7_purple/20.png,res/AI/easy_3_7_purple/20.png,res/xai_shap/easy_3_7_purple/20.png,res/xai_cf/easy_3_7_purple/20.png
0,0,70,res/input/easy_3_7_purple/70.png,res/AI/easy_3_7_purple/70.png,res/xai_shap/easy_3_7_purple/70.png,res/xai_cf/easy_3_7_purple/70.png
0,0,69,res/input/easy_3_7_purple/69.png,res/AI/easy_3_7_purple/69.png,res/xai_shap/easy_3_7_purple/69.png,res/xai_cf/easy_3_7_purple/69.png
1,1,2,res/input/easy_3_7_purple/2.png,res/AI/easy_3_7_purple/2.png,res/xai_shap/easy_3_7_purple/2.png,res/xai_cf/easy_3_7_purple/2.png
1,1,54,res/input/easy_3_7_purple/54.png,res/AI/easy_3_7_purple/54.png,res/xai_shap/easy_3_7_purple/54.png,res/xai_cf/easy_3_7_purple/54.png
0,0,71,res/input/easy_3_7_purple/71.png,res/AI/easy_3_7_purple/71.png,res/xai_shap/easy_3_7_purple/71.png,res/xai_cf/easy_3_7_purple/71.png
0,1,95,res/input/easy_3_7_purple/95.png,res/AI/easy_3_7_purple/95.png,res/xai_shap/easy_3_7_purple/95.png,res/xai_cf/easy_3_7_purple/95.png
1,1,49,res/input/easy_3_7_purple/49.png,res/AI/easy_3_7_purple/49.png,res/xai_shap/easy_3_7_purple/49.png,res/xai_cf/easy_3_7_purple/49.png
0,0,79,res/input/easy_3_7_purple/79.png,res/AI/easy_3_7_purple/79.png,res/xai_shap/easy_3_7_purple/79.png,res/xai_cf/easy_3_7_purple/79.png
0,0,80,res/input/easy_3_7_purple/80.png,res/AI/easy_3_7_purple/80.png,res/xai_shap/easy_3_7_purple/80.png,res/xai_cf/easy_3_7_purple/80.png
0,1,44,res/input/easy_3_7_purple/44.png,res/AI/easy_3_7_purple/44.png,res/xai_shap/easy_3_7_purple/44.png,res/xai_cf/easy_3_7_purple/44.png
1,1,40,res/input/easy_3_7_purple/40.png,res/AI/easy_3_7_purple/40.png,res/xai_shap/easy_3_7_purple/40.png,res/xai_cf/easy_3_7_purple/40.png
1,1,92,res/input/easy_3_7_purple/92.png,res/AI/easy_3_7_purple/92.png,res/xai_shap/easy_3_7_purple/92.png,res/xai_cf/easy_3_7_purple/92.png
1,1,58,res/input/easy_3_7_purple/58.png,res/AI/easy_3_7_purple/58.png,res/xai_shap/easy_3_7_purple/58.png,res/xai_cf/easy_3_7_purple/58.png
