target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,14,res/input/easy_4_row_triangle/14.png,res/AI/easy_4_row_triangle/14.png,res/xai_shap/easy_4_row_triangle/14.png,res/xai_cf/easy_4_row_triangle/14.png
1,1,24,res/input/easy_4_row_triangle/24.png,res/AI/easy_4_row_triangle/24.png,res/xai_shap/easy_4_row_triangle/24.png,res/xai_cf/easy_4_row_triangle/24.png
0,0,29,res/input/easy_4_row_triangle/29.png,res/AI/easy_4_row_triangle/29.png,res/xai_shap/easy_4_row_triangle/29.png,res/xai_cf/easy_4_row_triangle/29.png
0,0,82,res/input/easy_4_row_triangle/82.png,res/AI/easy_4_row_triangle/82.png,res/xai_shap/easy_4_row_triangle/82.png,res/xai_cf/easy_4_row_triangle/82.png
0,0,79,res/input/easy_4_row_triangle/79.png,res/AI/easy_4_row_triangle/79.png,res/xai_shap/easy_4_row_triangle/79.png,res/xai_cf/easy_4_row_triangle/79.png
1,1,52,res/input/easy_4_row_triangle/52.png,res/AI/easy_4_row_triangle/52.png,res/xai_shap/easy_4_row_triangle/52.png,res/xai_cf/easy_4_row_triangle/52.png
1,1,37,res/input/easy_4_row_triangle/37.png,res/AI/easy_4_row_triangle/37.png,res/xai_shap/easy_4_row_triangle/37.png,res/xai_cf/easy_4_row_triangle/37.png
1,1,10,res/input/easy_4_row_triangle/10.png,res/AI/easy_4_row_triangle/10.png,res/xai_shap/easy_4_row_triangle/10.png,res/xai_cf/easy_4_row_triangle/10.png
0,1,45,res/input/easy_4_row_triangle/45.png,res/AI/easy_4_row_triangle/45.png,res/xai_shap/easy_4_row_triangle/45.png,res/xai_cf/easy_4_row_triangle/45.png
1,1,81,res/input/easy_4_row_triangle/81.png,res/AI/easy_4_row_triangle/81.png,res/xai_shap/easy_4_row_triangle/81.png,res/xai_cf/easy_4_row_triangle/81.png
0,0,84,res/input/easy_4_row_triangle/84.png,res/AI/easy_4_row_triangle/84.png,res/xai_shap/easy_4_row_triangle/84.png,res/xai_cf/easy_4_row_triangle/84.png
0,1,5,res/input/easy_4_row_triangle/5.png,res/AI/easy_4_row_triangle/5.png,res/xai_shap/easy_4_row_triangle/5.png,res/xai_cf/easy_4_row_triangle/5.png
0,0,71,res/input/easy_4_row_triangle/71.png,res/AI/easy_4_row_triangle/71.png,res/xai_shap/easy_4_row_triangle/71.png,res/xai_cf/easy_4_row_triangle/71.png
1,1,40,res/input/easy_4_row_triangle/40.png,res/AI/easy_4_row_triangle/40.png,res/xai_shap/easy_4_row_triangle/40.png,res/xai_cf/easy_4_row_triangle/40.png
