target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,64,res/input/easy_5_5_yellow/64.png,res/AI/easy_5_5_yellow/64.png,res/xai_shap/easy_5_5_yellow/64.png,res/xai_cf/easy_5_5_yellow/64.png
0,0,47,res/input/easy_5_5_yellow/47.png,res/AI/easy_5_5_yellow/47.png,res/xai_shap/easy_5_5_yellow/47.png,res/xai_cf/easy_5_5_yellow/47.png
0,0,59,res/input/easy_5_5_yellow/59.png,res/AI/easy_5_5_yellow/59.png,res/xai_shap/easy_5_5_yellow/59.png,res/xai_cf/easy_5_5_yellow/59.png
0,0,69,res/input/easy_5_5_yellow/69.png,res/AI/easy_5_5_yellow/69.png,res/xai_shap/easy_5_5_yellow/69.png,res/xai_cf/easy_5_5_yellow/69.png
1,1,14,res/input/easy_5_5_yellow/14.png,res/AI/easy_5_5_yellow/14.png,res/xai_shap/easy_5_5_yellow/14.png,res/xai_cf/easy_5_5_yellow/14.png
1,0,31,res/input/easy_5_5_yellow/31.png,res/AI/easy_5_5_yellow/31.png,res/xai_shap/easy_5_5_yellow/31.png,res/xai_cf/easy_5_5_yellow/31.png
1,1,49,res/input/easy_5_5_yellow/49.png,res/AI/easy_5_5_yellow/49.png,res/xai_shap/easy_5_5_yellow/49.png,res/xai_cf/easy_5_5_yellow/49.png
1,1,63,res/input/easy_5_5_yellow/63.png,res/AI/easy_5_5_yellow/63.png,res/xai_shap/easy_5_5_yellow/63.png,res/xai_cf/easy_5_5_yellow/63.png
0,0,55,res/input/easy_5_5_yellow/55.png,res/AI/easy_5_5_yellow/55.png,res/xai_shap/easy_5_5_yellow/55.png,res/xai_cf/easy_5_5_yellow/55.png
1,1,89,res/input/easy_5_5_yellow/89.png,res/AI/easy_5_5_yellow/89.png,res/xai_shap/easy_5_5_yellow/89.png,res/xai_cf/easy_5_5_yellow/89.png
1,1,33,res/input/easy_5_5_yellow/33.png,res/AI/easy_5_5_yellow/33.png,res/xai_shap/easy_5_5_yellow/33.png,res/xai_cf/easy_5_5_yellow/33.png
1,1,54,res/input/easy_5_5_yellow/54.png,res/AI/easy_5_5_yellow/54.png,res/xai_shap/easy_5_5_yellow/54.png,res/xai_cf/easy_5_5_yellow/54.png
0,1,62,res/input/easy_5_5_yellow/62.png,res/AI/easy_5_5_yellow/62.png,res/xai_shap/easy_5_5_yellow/62.png,res/xai_cf/easy_5_5_yellow/62.png
0,0,25,res/input/easy_5_5_yellow/25.png,res/AI/easy_5_5_yellow/25.png,res/xai_shap/easy_5_5_yellow/25.png,res/xai_cf/easy_5_5_yellow/25.png
