target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,65,res/input/easy_6_row_square/65.png,res/AI/easy_6_row_square/65.png,res/xai_shap/easy_6_row_square/65.png,res/xai_cf/easy_6_row_square/65.png
1,1,3,res/input/easy_6_row_square/3.png,res/AI/easy_6_row_square/3.png,res/xai_shap/easy_6_row_square/3.png,res/xai_cf/easy_6_row_square/3.png
1,1,85,res/input/easy_6_row_square/85.png,res/AI/easy_6_row_square/85.png,res/xai_shap/easy_6_row_square/85.png,res/xai_cf/easy_6_row_square/85.png
1,1,87,res/input/easy_6_row_square/87.png,res/AI/easy_6_row_square/87.png,res/xai_shap/easy_6_row_square/87.png,res/xai_cf/easy_6_row_square/87.png
0,0,70,res/input/easy_6_row_square/70.png,res/AI/easy_6_row_square/70.png,res/xai_shap/easy_6_row_square/70.png,res/xai_cf/easy_6_row_square/70.png
1,1,78,res/input/easy_6_row_square/78.png,res/AI/easy_6_row_square/78.png,res/xai_shap/easy_6_row_square/78.png,res/xai_cf/easy_6_row_square/78.png
0,1,86,res/input/easy_6_row_square/86.png,res/AI/easy_6_row_square/86.png,res/xai_shap/easy_6_row_square/86.png,res/xai_cf/easy_6_row_square/86.png
0,0,97,res/input/easy_6_row_square/97.png,res/AI/easy_6_row_square/97.png,res/xai_shap/easy_6_row_square/97.png,res/xai_cf/easy_6_row_square/97.png
0,0,69,res/input/easy_6_row_square/69.png,res/AI/easy_6_row_square/69.png,res/xai_shap/easy_6_row_square/69.png,res/xai_cf/easy_6_row_square/69.png
0,0,43,res/input/easy_6_row_square/43.png,res/AI/easy_6_row_square/43.png,res/xai_shap/easy_6_row_square/43.png,res/xai_cf/easy_6_row_square/43.png
0,1,36,res/input/easy_6_row_square/36.png,res/AI/easy_6_row_square/36.png,res/xai_shap/easy_6_row_square/36.png,res/xai_cf/easy_6_row_square/36.png
0,0,50,res/input/easy_6_row_square/50.png,res/AI/easy_6_row_square/50.png,res/xai_shap/easy_6_row_square/50.png,res/xai_cf/easy_6_row_square/50.png
1,1,33,res/input/easy_6_row_square/33.png,res/AI/easy_6_row_square/33.png,res/xai_shap/easy_6_row_square/33.png,res/xai_cf/easy_6_row_square/33.png
1,1,38,res/input/easy_6_row_square/38.png,res/AI/easy_6_row_square/38.png,res/xai_shap/easy_6_row_square/38.png,res/xai_cf/easy_6_row_square/38.png
