target,pred,og_idx,source,AI,xai_shap,xai_cf,xai_gradcam,xai_LLM
0,0,165,res/input/hard1_find_pattern_rot/165.png,res/AI/hard1_find_pattern_rot/165.png,res/xai_shap/hard1_find_pattern_rot/165.png,res/xai_cf/hard1_find_pattern_rot/165.png,res/xai_gradcam/hard1_find_pattern_rot/165.png,res/xai_LLM/hard1_find_pattern_rot/165.png
1,0,158,res/input/hard1_find_pattern_rot/158.png,res/AI/hard1_find_pattern_rot/158.png,res/xai_shap/hard1_find_pattern_rot/158.png,res/xai_cf/hard1_find_pattern_rot/158.png,res/xai_gradcam/hard1_find_pattern_rot/158.png,res/xai_LLM/hard1_find_pattern_rot/158.png
0,0,182,res/input/hard1_find_pattern_rot/182.png,res/AI/hard1_find_pattern_rot/182.png,res/xai_shap/hard1_find_pattern_rot/182.png,res/xai_cf/hard1_find_pattern_rot/182.png,res/xai_gradcam/hard1_find_pattern_rot/182.png,res/xai_LLM/hard1_find_pattern_rot/182.png
0,0,66,res/input/hard1_find_pattern_rot/66.png,res/AI/hard1_find_pattern_rot/66.png,res/xai_shap/hard1_find_pattern_rot/66.png,res/xai_cf/hard1_find_pattern_rot/66.png,res/xai_gradcam/hard1_find_pattern_rot/66.png,res/xai_LLM/hard1_find_pattern_rot/66.png
0,0,152,res/input/hard1_find_pattern_rot/152.png,res/AI/hard1_find_pattern_rot/152.png,res/xai_shap/hard1_find_pattern_rot/152.png,res/xai_cf/hard1_find_pattern_rot/152.png,res/xai_gradcam/hard1_find_pattern_rot/152.png,res/xai_LLM/hard1_find_pattern_rot/152.png
1,1,15,res/input/hard1_find_pattern_rot/15.png,res/AI/hard1_find_pattern_rot/15.png,res/xai_shap/hard1_find_pattern_rot/15.png,res/xai_cf/hard1_find_pattern_rot/15.png,res/xai_gradcam/hard1_find_pattern_rot/15.png,res/xai_LLM/hard1_find_pattern_rot/15.png
1,1,115,res/input/hard1_find_pattern_rot/115.png,res/AI/hard1_find_pattern_rot/115.png,res/xai_shap/hard1_find_pattern_rot/115.png,res/xai_cf/hard1_find_pattern_rot/115.png,res/xai_gradcam/hard1_find_pattern_rot/115.png,res/xai_LLM/hard1_find_pattern_rot/115.png
0,0,170,res/input/hard1_find_pattern_rot/170.png,res/AI/hard1_find_pattern_rot/170.png,res/xai_shap/hard1_find_pattern_rot/170.png,res/xai_cf/hard1_find_pattern_rot/170.png,res/xai_gradcam/hard1_find_pattern_rot/170.png,res/xai_LLM/hard1_find_pattern_rot/170.png
1,1,128,res/input/hard1_find_pattern_rot/128.png,res/AI/hard1_find_pattern_rot/128.png,res/xai_shap/hard1_find_pattern_rot/128.png,res/xai_cf/hard1_find_pattern_rot/128.png,res/xai_gradcam/hard1_find_pattern_rot/128.png,res/xai_LLM/hard1_find_pattern_rot/128.png
1,1,30,res/input/hard1_find_pattern_rot/30.png,res/AI/hard1_find_pattern_rot/30.png,res/xai_shap/hard1_find_pattern_rot/30.png,res/xai_cf/hard1_find_pattern_rot/30.png,res/xai_gradcam/hard1_find_pattern_rot/30.png,res/xai_LLM/hard1_find_pattern_rot/30.png
0,1,174,res/input/hard1_find_pattern_rot/174.png,res/AI/hard1_find_pattern_rot/174.png,res/xai_shap/hard1_find_pattern_rot/174.png,res/xai_cf/hard1_find_pattern_rot/174.png,res/xai_gradcam/hard1_find_pattern_rot/174.png,res/xai_LLM/hard1_find_pattern_rot/174.png
1,1,95,res/input/hard1_find_pattern_rot/95.png,res/AI/hard1_find_pattern_rot/95.png,res/xai_shap/hard1_find_pattern_rot/95.png,res/xai_cf/hard1_find_pattern_rot/95.png,res/xai_gradcam/hard1_find_pattern_rot/95.png,res/xai_LLM/hard1_find_pattern_rot/95.png
