target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,13,res/input/hard2_blue_circle_N/13.png,res/AI/hard2_blue_circle_N/13.png,res/xai_shap/hard2_blue_circle_N/13.png,res/xai_cf/hard2_blue_circle_N/13.png
0,0,1,res/input/hard2_blue_circle_N/1.png,res/AI/hard2_blue_circle_N/1.png,res/xai_shap/hard2_blue_circle_N/1.png,res/xai_cf/hard2_blue_circle_N/1.png
1,1,30,res/input/hard2_blue_circle_N/30.png,res/AI/hard2_blue_circle_N/30.png,res/xai_shap/hard2_blue_circle_N/30.png,res/xai_cf/hard2_blue_circle_N/30.png
0,1,18,res/input/hard2_blue_circle_N/18.png,res/AI/hard2_blue_circle_N/18.png,res/xai_shap/hard2_blue_circle_N/18.png,res/xai_cf/hard2_blue_circle_N/18.png
1,1,29,res/input/hard2_blue_circle_N/29.png,res/AI/hard2_blue_circle_N/29.png,res/xai_shap/hard2_blue_circle_N/29.png,res/xai_cf/hard2_blue_circle_N/29.png
0,0,22,res/input/hard2_blue_circle_N/22.png,res/AI/hard2_blue_circle_N/22.png,res/xai_shap/hard2_blue_circle_N/22.png,res/xai_cf/hard2_blue_circle_N/22.png
1,1,42,res/input/hard2_blue_circle_N/42.png,res/AI/hard2_blue_circle_N/42.png,res/xai_shap/hard2_blue_circle_N/42.png,res/xai_cf/hard2_blue_circle_N/42.png
1,0,32,res/input/hard2_blue_circle_N/32.png,res/AI/hard2_blue_circle_N/32.png,res/xai_shap/hard2_blue_circle_N/32.png,res/xai_cf/hard2_blue_circle_N/32.png
1,1,15,res/input/hard2_blue_circle_N/15.png,res/AI/hard2_blue_circle_N/15.png,res/xai_shap/hard2_blue_circle_N/15.png,res/xai_cf/hard2_blue_circle_N/15.png
0,0,20,res/input/hard2_blue_circle_N/20.png,res/AI/hard2_blue_circle_N/20.png,res/xai_shap/hard2_blue_circle_N/20.png,res/xai_cf/hard2_blue_circle_N/20.png
1,1,41,res/input/hard2_blue_circle_N/41.png,res/AI/hard2_blue_circle_N/41.png,res/xai_shap/hard2_blue_circle_N/41.png,res/xai_cf/hard2_blue_circle_N/41.png
0,0,27,res/input/hard2_blue_circle_N/27.png,res/AI/hard2_blue_circle_N/27.png,res/xai_shap/hard2_blue_circle_N/27.png,res/xai_cf/hard2_blue_circle_N/27.png
