target,pred,og_idx,source,AI
1,1,10,res/input/hard2_blue_circle_even/10.png,res/AI/hard2_blue_circle_even/10.png
1,1,2,res/input/hard2_blue_circle_even/2.png,res/AI/hard2_blue_circle_even/2.png
0,1,45,res/input/hard2_blue_circle_even/45.png,res/AI/hard2_blue_circle_even/45.png
0,1,23,res/input/hard2_blue_circle_even/23.png,res/AI/hard2_blue_circle_even/23.png
1,1,30,res/input/hard2_blue_circle_even/30.png,res/AI/hard2_blue_circle_even/30.png
1,1,38,res/input/hard2_blue_circle_even/38.png,res/AI/hard2_blue_circle_even/38.png
1,1,4,res/input/hard2_blue_circle_even/4.png,res/AI/hard2_blue_circle_even/4.png
0,1,32,res/input/hard2_blue_circle_even/32.png,res/AI/hard2_blue_circle_even/32.png
0,1,11,res/input/hard2_blue_circle_even/11.png,res/AI/hard2_blue_circle_even/11.png
0,1,41,res/input/hard2_blue_circle_even/41.png,res/AI/hard2_blue_circle_even/41.png
