target,pred,og_idx,source,AI
1,1,2,res/input/hard3_find_pattern_rot/2.png,res/AI/hard3_find_pattern_rot/2.png
0,0,31,res/input/hard3_find_pattern_rot/31.png,res/AI/hard3_find_pattern_rot/31.png
1,1,0,res/input/hard3_find_pattern_rot/0.png,res/AI/hard3_find_pattern_rot/0.png
1,1,38,res/input/hard3_find_pattern_rot/38.png,res/AI/hard3_find_pattern_rot/38.png
0,0,12,res/input/hard3_find_pattern_rot/12.png,res/AI/hard3_find_pattern_rot/12.png
0,0,10,res/input/hard3_find_pattern_rot/10.png,res/AI/hard3_find_pattern_rot/10.png
0,0,18,res/input/hard3_find_pattern_rot/18.png,res/AI/hard3_find_pattern_rot/18.png
1,1,4,res/input/hard3_find_pattern_rot/4.png,res/AI/hard3_find_pattern_rot/4.png
1,0,28,res/input/hard3_find_pattern_rot/28.png,res/AI/hard3_find_pattern_rot/28.png
0,0,20,res/input/hard3_find_pattern_rot/20.png,res/AI/hard3_find_pattern_rot/20.png
