target,pred,og_idx,source,AI
0,0,13,res/input/hard4_purple_square_N/13.png,res/AI/hard4_purple_square_N/13.png
0,0,30,res/input/hard4_purple_square_N/30.png,res/AI/hard4_purple_square_N/30.png
0,0,3,res/input/hard4_purple_square_N/3.png,res/AI/hard4_purple_square_N/3.png
1,0,26,res/input/hard4_purple_square_N/26.png,res/AI/hard4_purple_square_N/26.png
1,0,7,res/input/hard4_purple_square_N/7.png,res/AI/hard4_purple_square_N/7.png
0,0,37,res/input/hard4_purple_square_N/37.png,res/AI/hard4_purple_square_N/37.png
1,0,4,res/input/hard4_purple_square_N/4.png,res/AI/hard4_purple_square_N/4.png
1,0,15,res/input/hard4_purple_square_N/15.png,res/AI/hard4_purple_square_N/15.png
0,0,39,res/input/hard4_purple_square_N/39.png,res/AI/hard4_purple_square_N/39.png
1,0,22,res/input/hard4_purple_square_N/22.png,res/AI/hard4_purple_square_N/22.png
0,0,38,res/input/hard4_purple_square_N/38.png,res/AI/hard4_purple_square_N/38.png
1,0,18,res/input/hard4_purple_square_N/18.png,res/AI/hard4_purple_square_N/18.png
