target,pred,og_idx,source,AI
1,0,10,res/input/hard4_purple_square_even/10.png,res/AI/hard4_purple_square_even/10.png
0,0,15,res/input/hard4_purple_square_even/15.png,res/AI/hard4_purple_square_even/15.png
1,0,3,res/input/hard4_purple_square_even/3.png,res/AI/hard4_purple_square_even/3.png
0,0,9,res/input/hard4_purple_square_even/9.png,res/AI/hard4_purple_square_even/9.png
1,0,33,res/input/hard4_purple_square_even/33.png,res/AI/hard4_purple_square_even/33.png
0,0,46,res/input/hard4_purple_square_even/46.png,res/AI/hard4_purple_square_even/46.png
1,0,35,res/input/hard4_purple_square_even/35.png,res/AI/hard4_purple_square_even/35.png
0,0,22,res/input/hard4_purple_square_even/22.png,res/AI/hard4_purple_square_even/22.png
1,0,13,res/input/hard4_purple_square_even/13.png,res/AI/hard4_purple_square_even/13.png
0,0,41,res/input/hard4_purple_square_even/41.png,res/AI/hard4_purple_square_even/41.png
