target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,7,res/input/hard4_yellow_square_N/7.png,res/AI/hard4_yellow_square_N/7.png,res/xai_shap/hard4_yellow_square_N/7.png,res/xai_cf/hard4_yellow_square_N/7.png
0,1,35,res/input/hard4_yellow_square_N/35.png,res/AI/hard4_yellow_square_N/35.png,res/xai_shap/hard4_yellow_square_N/35.png,res/xai_cf/hard4_yellow_square_N/35.png
1,1,6,res/input/hard4_yellow_square_N/6.png,res/AI/hard4_yellow_square_N/6.png,res/xai_shap/hard4_yellow_square_N/6.png,res/xai_cf/hard4_yellow_square_N/6.png
0,0,10,res/input/hard4_yellow_square_N/10.png,res/AI/hard4_yellow_square_N/10.png,res/xai_shap/hard4_yellow_square_N/10.png,res/xai_cf/hard4_yellow_square_N/10.png
0,1,13,res/input/hard4_yellow_square_N/13.png,res/AI/hard4_yellow_square_N/13.png,res/xai_shap/hard4_yellow_square_N/13.png,res/xai_cf/hard4_yellow_square_N/13.png
0,0,1,res/input/hard4_yellow_square_N/1.png,res/AI/hard4_yellow_square_N/1.png,res/xai_shap/hard4_yellow_square_N/1.png,res/xai_cf/hard4_yellow_square_N/1.png
0,0,20,res/input/hard4_yellow_square_N/20.png,res/AI/hard4_yellow_square_N/20.png,res/xai_shap/hard4_yellow_square_N/20.png,res/xai_cf/hard4_yellow_square_N/20.png
1,1,8,res/input/hard4_yellow_square_N/8.png,res/AI/hard4_yellow_square_N/8.png,res/xai_shap/hard4_yellow_square_N/8.png,res/xai_cf/hard4_yellow_square_N/8.png
1,1,43,res/input/hard4_yellow_square_N/43.png,res/AI/hard4_yellow_square_N/43.png,res/xai_shap/hard4_yellow_square_N/43.png,res/xai_cf/hard4_yellow_square_N/43.png
0,0,36,res/input/hard4_yellow_square_N/36.png,res/AI/hard4_yellow_square_N/36.png,res/xai_shap/hard4_yellow_square_N/36.png,res/xai_cf/hard4_yellow_square_N/36.png
1,1,0,res/input/hard4_yellow_square_N/0.png,res/AI/hard4_yellow_square_N/0.png,res/xai_shap/hard4_yellow_square_N/0.png,res/xai_cf/hard4_yellow_square_N/0.png
1,1,5,res/input/hard4_yellow_square_N/5.png,res/AI/hard4_yellow_square_N/5.png,res/xai_shap/hard4_yellow_square_N/5.png,res/xai_cf/hard4_yellow_square_N/5.png
