target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,42,res/input/hard6_find_pattern/42.png,res/AI/hard6_find_pattern/42.png,res/xai_shap/hard6_find_pattern/42.png,res/xai_cf/hard6_find_pattern/42.png
0,0,34,res/input/hard6_find_pattern/34.png,res/AI/hard6_find_pattern/34.png,res/xai_shap/hard6_find_pattern/34.png,res/xai_cf/hard6_find_pattern/34.png
1,1,24,res/input/hard6_find_pattern/24.png,res/AI/hard6_find_pattern/24.png,res/xai_shap/hard6_find_pattern/24.png,res/xai_cf/hard6_find_pattern/24.png
0,0,3,res/input/hard6_find_pattern/3.png,res/AI/hard6_find_pattern/3.png,res/xai_shap/hard6_find_pattern/3.png,res/xai_cf/hard6_find_pattern/3.png
1,1,4,res/input/hard6_find_pattern/4.png,res/AI/hard6_find_pattern/4.png,res/xai_shap/hard6_find_pattern/4.png,res/xai_cf/hard6_find_pattern/4.png
1,1,29,res/input/hard6_find_pattern/29.png,res/AI/hard6_find_pattern/29.png,res/xai_shap/hard6_find_pattern/29.png,res/xai_cf/hard6_find_pattern/29.png
0,0,36,res/input/hard6_find_pattern/36.png,res/AI/hard6_find_pattern/36.png,res/xai_shap/hard6_find_pattern/36.png,res/xai_cf/hard6_find_pattern/36.png
1,1,38,res/input/hard6_find_pattern/38.png,res/AI/hard6_find_pattern/38.png,res/xai_shap/hard6_find_pattern/38.png,res/xai_cf/hard6_find_pattern/38.png
0,1,35,res/input/hard6_find_pattern/35.png,res/AI/hard6_find_pattern/35.png,res/xai_shap/hard6_find_pattern/35.png,res/xai_cf/hard6_find_pattern/35.png
1,1,6,res/input/hard6_find_pattern/6.png,res/AI/hard6_find_pattern/6.png,res/xai_shap/hard6_find_pattern/6.png,res/xai_cf/hard6_find_pattern/6.png
0,1,17,res/input/hard6_find_pattern/17.png,res/AI/hard6_find_pattern/17.png,res/xai_shap/hard6_find_pattern/17.png,res/xai_cf/hard6_find_pattern/17.png
0,0,46,res/input/hard6_find_pattern/46.png,res/AI/hard6_find_pattern/46.png,res/xai_shap/hard6_find_pattern/46.png,res/xai_cf/hard6_find_pattern/46.png
