target,pred,og_idx,source,AI,xai_shap,xai_cf,xai_llm
1,1,30,res/input/hard_1_blue_square_plus_circle_8/30.png,res/AI/hard_1_blue_square_plus_circle_8/30.png,res/xai_shap/hard_1_blue_square_plus_circle_8/30.png,res/xai_cf/hard_1_blue_square_plus_circle_8/30.png,res/xai_llm/hard_1_blue_square_plus_circle_8/30.png
1,1,27,res/input/hard_1_blue_square_plus_circle_8/27.png,res/AI/hard_1_blue_square_plus_circle_8/27.png,res/xai_shap/hard_1_blue_square_plus_circle_8/27.png,res/xai_cf/hard_1_blue_square_plus_circle_8/27.png,res/xai_llm/hard_1_blue_square_plus_circle_8/27.png
1,1,91,res/input/hard_1_blue_square_plus_circle_8/91.png,res/AI/hard_1_blue_square_plus_circle_8/91.png,res/xai_shap/hard_1_blue_square_plus_circle_8/91.png,res/xai_cf/hard_1_blue_square_plus_circle_8/91.png,res/xai_llm/hard_1_blue_square_plus_circle_8/91.png
0,0,26,res/input/hard_1_blue_square_plus_circle_8/26.png,res/AI/hard_1_blue_square_plus_circle_8/26.png,res/xai_shap/hard_1_blue_square_plus_circle_8/26.png,res/xai_cf/hard_1_blue_square_plus_circle_8/26.png,res/xai_llm/hard_1_blue_square_plus_circle_8/26.png
0,1,57,res/input/hard_1_blue_square_plus_circle_8/57.png,res/AI/hard_1_blue_square_plus_circle_8/57.png,res/xai_shap/hard_1_blue_square_plus_circle_8/57.png,res/xai_cf/hard_1_blue_square_plus_circle_8/57.png,res/xai_llm/hard_1_blue_square_plus_circle_8/57.png
0,0,75,res/input/hard_1_blue_square_plus_circle_8/75.png,res/AI/hard_1_blue_square_plus_circle_8/75.png,res/xai_shap/hard_1_blue_square_plus_circle_8/75.png,res/xai_cf/hard_1_blue_square_plus_circle_8/75.png,res/xai_llm/hard_1_blue_square_plus_circle_8/75.png
1,1,85,res/input/hard_1_blue_square_plus_circle_8/85.png,res/AI/hard_1_blue_square_plus_circle_8/85.png,res/xai_shap/hard_1_blue_square_plus_circle_8/85.png,res/xai_cf/hard_1_blue_square_plus_circle_8/85.png,res/xai_llm/hard_1_blue_square_plus_circle_8/85.png
0,0,50,res/input/hard_1_blue_square_plus_circle_8/50.png,res/AI/hard_1_blue_square_plus_circle_8/50.png,res/xai_shap/hard_1_blue_square_plus_circle_8/50.png,res/xai_cf/hard_1_blue_square_plus_circle_8/50.png,res/xai_llm/hard_1_blue_square_plus_circle_8/50.png
0,1,15,res/input/hard_1_blue_square_plus_circle_8/15.png,res/AI/hard_1_blue_square_plus_circle_8/15.png,res/xai_shap/hard_1_blue_square_plus_circle_8/15.png,res/xai_cf/hard_1_blue_square_plus_circle_8/15.png,res/xai_llm/hard_1_blue_square_plus_circle_8/15.png
1,1,53,res/input/hard_1_blue_square_plus_circle_8/53.png,res/AI/hard_1_blue_square_plus_circle_8/53.png,res/xai_shap/hard_1_blue_square_plus_circle_8/53.png,res/xai_cf/hard_1_blue_square_plus_circle_8/53.png,res/xai_llm/hard_1_blue_square_plus_circle_8/53.png
