target,pred,source,AI,xai_shap,xai_cf
1,0,res/input/hard_2_row_purple_col_triangle/90.png,res/AI/hard_2_row_purple_col_triangle/90.png,res/xai_shap/hard_2_row_purple_col_triangle/90.png,res/xai_cf/hard_2_row_purple_col_triangle/90.png
1,1,res/input/hard_2_row_purple_col_triangle/83.png,res/AI/hard_2_row_purple_col_triangle/83.png,res/xai_shap/hard_2_row_purple_col_triangle/83.png,res/xai_cf/hard_2_row_purple_col_triangle/83.png
0,0,res/input/hard_2_row_purple_col_triangle/84.png,res/AI/hard_2_row_purple_col_triangle/84.png,res/xai_shap/hard_2_row_purple_col_triangle/84.png,res/xai_cf/hard_2_row_purple_col_triangle/84.png
1,0,res/input/hard_2_row_purple_col_triangle/14.png,res/AI/hard_2_row_purple_col_triangle/14.png,res/xai_shap/hard_2_row_purple_col_triangle/14.png,res/xai_cf/hard_2_row_purple_col_triangle/14.png
1,1,res/input/hard_2_row_purple_col_triangle/93.png,res/AI/hard_2_row_purple_col_triangle/93.png,res/xai_shap/hard_2_row_purple_col_triangle/93.png,res/xai_cf/hard_2_row_purple_col_triangle/93.png
0,0,res/input/hard_2_row_purple_col_triangle/61.png,res/AI/hard_2_row_purple_col_triangle/61.png,res/xai_shap/hard_2_row_purple_col_triangle/61.png,res/xai_cf/hard_2_row_purple_col_triangle/61.png
0,0,res/input/hard_2_row_purple_col_triangle/23.png,res/AI/hard_2_row_purple_col_triangle/23.png,res/xai_shap/hard_2_row_purple_col_triangle/23.png,res/xai_cf/hard_2_row_purple_col_triangle/23.png
1,1,res/input/hard_2_row_purple_col_triangle/74.png,res/AI/hard_2_row_purple_col_triangle/74.png,res/xai_shap/hard_2_row_purple_col_triangle/74.png,res/xai_cf/hard_2_row_purple_col_triangle/74.png
0,0,res/input/hard_2_row_purple_col_triangle/60.png,res/AI/hard_2_row_purple_col_triangle/60.png,res/xai_shap/hard_2_row_purple_col_triangle/60.png,res/xai_cf/hard_2_row_purple_col_triangle/60.png
0,0,res/input/hard_2_row_purple_col_triangle/6.png,res/AI/hard_2_row_purple_col_triangle/6.png,res/xai_shap/hard_2_row_purple_col_triangle/6.png,res/xai_cf/hard_2_row_purple_col_triangle/6.png
