target,pred,og_idx,source,AI,xai_shap,xai_cf,xai_llm
0,0,57,res/input/hard_2_yellow_triangles_times2_squares/57.png,res/AI/hard_2_yellow_triangles_times2_squares/57.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/57.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/57.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/57.png
0,0,29,res/input/hard_2_yellow_triangles_times2_squares/29.png,res/AI/hard_2_yellow_triangles_times2_squares/29.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/29.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/29.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/29.png
1,1,53,res/input/hard_2_yellow_triangles_times2_squares/53.png,res/AI/hard_2_yellow_triangles_times2_squares/53.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/53.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/53.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/53.png
0,0,15,res/input/hard_2_yellow_triangles_times2_squares/15.png,res/AI/hard_2_yellow_triangles_times2_squares/15.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/15.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/15.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/15.png
0,0,82,res/input/hard_2_yellow_triangles_times2_squares/82.png,res/AI/hard_2_yellow_triangles_times2_squares/82.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/82.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/82.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/82.png
1,1,52,res/input/hard_2_yellow_triangles_times2_squares/52.png,res/AI/hard_2_yellow_triangles_times2_squares/52.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/52.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/52.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/52.png
1,0,81,res/input/hard_2_yellow_triangles_times2_squares/81.png,res/AI/hard_2_yellow_triangles_times2_squares/81.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/81.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/81.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/81.png
1,1,56,res/input/hard_2_yellow_triangles_times2_squares/56.png,res/AI/hard_2_yellow_triangles_times2_squares/56.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/56.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/56.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/56.png
0,1,84,res/input/hard_2_yellow_triangles_times2_squares/84.png,res/AI/hard_2_yellow_triangles_times2_squares/84.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/84.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/84.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/84.png
1,1,54,res/input/hard_2_yellow_triangles_times2_squares/54.png,res/AI/hard_2_yellow_triangles_times2_squares/54.png,res/xai_shap/hard_2_yellow_triangles_times2_squares/54.png,res/xai_cf/hard_2_yellow_triangles_times2_squares/54.png,res/xai_llm/hard_2_yellow_triangles_times2_squares/54.png
