target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,31,res/input/hard_3_yellow_circle_plus_triangle_9/31.png,res/AI/hard_3_yellow_circle_plus_triangle_9/31.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/31.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/31.png
0,0,97,res/input/hard_3_yellow_circle_plus_triangle_9/97.png,res/AI/hard_3_yellow_circle_plus_triangle_9/97.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/97.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/97.png
0,0,44,res/input/hard_3_yellow_circle_plus_triangle_9/44.png,res/AI/hard_3_yellow_circle_plus_triangle_9/44.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/44.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/44.png
1,1,13,res/input/hard_3_yellow_circle_plus_triangle_9/13.png,res/AI/hard_3_yellow_circle_plus_triangle_9/13.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/13.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/13.png
1,1,99,res/input/hard_3_yellow_circle_plus_triangle_9/99.png,res/AI/hard_3_yellow_circle_plus_triangle_9/99.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/99.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/99.png
1,1,49,res/input/hard_3_yellow_circle_plus_triangle_9/49.png,res/AI/hard_3_yellow_circle_plus_triangle_9/49.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/49.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/49.png
0,0,50,res/input/hard_3_yellow_circle_plus_triangle_9/50.png,res/AI/hard_3_yellow_circle_plus_triangle_9/50.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/50.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/50.png
1,1,76,res/input/hard_3_yellow_circle_plus_triangle_9/76.png,res/AI/hard_3_yellow_circle_plus_triangle_9/76.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/76.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/76.png
0,1,86,res/input/hard_3_yellow_circle_plus_triangle_9/86.png,res/AI/hard_3_yellow_circle_plus_triangle_9/86.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/86.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/86.png
1,1,77,res/input/hard_3_yellow_circle_plus_triangle_9/77.png,res/AI/hard_3_yellow_circle_plus_triangle_9/77.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/77.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/77.png
1,1,81,res/input/hard_3_yellow_circle_plus_triangle_9/81.png,res/AI/hard_3_yellow_circle_plus_triangle_9/81.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/81.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/81.png
0,0,57,res/input/hard_3_yellow_circle_plus_triangle_9/57.png,res/AI/hard_3_yellow_circle_plus_triangle_9/57.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/57.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/57.png
0,1,15,res/input/hard_3_yellow_circle_plus_triangle_9/15.png,res/AI/hard_3_yellow_circle_plus_triangle_9/15.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/15.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/15.png
0,0,34,res/input/hard_3_yellow_circle_plus_triangle_9/34.png,res/AI/hard_3_yellow_circle_plus_triangle_9/34.png,res/xai_shap/hard_3_yellow_circle_plus_triangle_9/34.png,res/xai_cf/hard_3_yellow_circle_plus_triangle_9/34.png
