target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,88,res/input/hard_4_purple_squares_times2_circles/88.png,res/AI/hard_4_purple_squares_times2_circles/88.png,res/xai_shap/hard_4_purple_squares_times2_circles/88.png,res/xai_cf/hard_4_purple_squares_times2_circles/88.png
0,1,42,res/input/hard_4_purple_squares_times2_circles/42.png,res/AI/hard_4_purple_squares_times2_circles/42.png,res/xai_shap/hard_4_purple_squares_times2_circles/42.png,res/xai_cf/hard_4_purple_squares_times2_circles/42.png
0,0,19,res/input/hard_4_purple_squares_times2_circles/19.png,res/AI/hard_4_purple_squares_times2_circles/19.png,res/xai_shap/hard_4_purple_squares_times2_circles/19.png,res/xai_cf/hard_4_purple_squares_times2_circles/19.png
0,0,47,res/input/hard_4_purple_squares_times2_circles/47.png,res/AI/hard_4_purple_squares_times2_circles/47.png,res/xai_shap/hard_4_purple_squares_times2_circles/47.png,res/xai_cf/hard_4_purple_squares_times2_circles/47.png
1,1,76,res/input/hard_4_purple_squares_times2_circles/76.png,res/AI/hard_4_purple_squares_times2_circles/76.png,res/xai_shap/hard_4_purple_squares_times2_circles/76.png,res/xai_cf/hard_4_purple_squares_times2_circles/76.png
1,0,3,res/input/hard_4_purple_squares_times2_circles/3.png,res/AI/hard_4_purple_squares_times2_circles/3.png,res/xai_shap/hard_4_purple_squares_times2_circles/3.png,res/xai_cf/hard_4_purple_squares_times2_circles/3.png
1,1,40,res/input/hard_4_purple_squares_times2_circles/40.png,res/AI/hard_4_purple_squares_times2_circles/40.png,res/xai_shap/hard_4_purple_squares_times2_circles/40.png,res/xai_cf/hard_4_purple_squares_times2_circles/40.png
0,0,69,res/input/hard_4_purple_squares_times2_circles/69.png,res/AI/hard_4_purple_squares_times2_circles/69.png,res/xai_shap/hard_4_purple_squares_times2_circles/69.png,res/xai_cf/hard_4_purple_squares_times2_circles/69.png
0,0,11,res/input/hard_4_purple_squares_times2_circles/11.png,res/AI/hard_4_purple_squares_times2_circles/11.png,res/xai_shap/hard_4_purple_squares_times2_circles/11.png,res/xai_cf/hard_4_purple_squares_times2_circles/11.png
0,0,66,res/input/hard_4_purple_squares_times2_circles/66.png,res/AI/hard_4_purple_squares_times2_circles/66.png,res/xai_shap/hard_4_purple_squares_times2_circles/66.png,res/xai_cf/hard_4_purple_squares_times2_circles/66.png
1,1,65,res/input/hard_4_purple_squares_times2_circles/65.png,res/AI/hard_4_purple_squares_times2_circles/65.png,res/xai_shap/hard_4_purple_squares_times2_circles/65.png,res/xai_cf/hard_4_purple_squares_times2_circles/65.png
1,1,20,res/input/hard_4_purple_squares_times2_circles/20.png,res/AI/hard_4_purple_squares_times2_circles/20.png,res/xai_shap/hard_4_purple_squares_times2_circles/20.png,res/xai_cf/hard_4_purple_squares_times2_circles/20.png
1,1,87,res/input/hard_4_purple_squares_times2_circles/87.png,res/AI/hard_4_purple_squares_times2_circles/87.png,res/xai_shap/hard_4_purple_squares_times2_circles/87.png,res/xai_cf/hard_4_purple_squares_times2_circles/87.png
1,1,52,res/input/hard_4_purple_squares_times2_circles/52.png,res/AI/hard_4_purple_squares_times2_circles/52.png,res/xai_shap/hard_4_purple_squares_times2_circles/52.png,res/xai_cf/hard_4_purple_squares_times2_circles/52.png
