target,pred,source,AI,xai_shap,xai_cf
1,0,res/input/hard_4_row_yellow_col_circle/96.png,res/AI/hard_4_row_yellow_col_circle/96.png,res/xai_shap/hard_4_row_yellow_col_circle/96.png,res/xai_cf/hard_4_row_yellow_col_circle/96.png
0,0,res/input/hard_4_row_yellow_col_circle/70.png,res/AI/hard_4_row_yellow_col_circle/70.png,res/xai_shap/hard_4_row_yellow_col_circle/70.png,res/xai_cf/hard_4_row_yellow_col_circle/70.png
0,0,res/input/hard_4_row_yellow_col_circle/75.png,res/AI/hard_4_row_yellow_col_circle/75.png,res/xai_shap/hard_4_row_yellow_col_circle/75.png,res/xai_cf/hard_4_row_yellow_col_circle/75.png
0,0,res/input/hard_4_row_yellow_col_circle/25.png,res/AI/hard_4_row_yellow_col_circle/25.png,res/xai_shap/hard_4_row_yellow_col_circle/25.png,res/xai_cf/hard_4_row_yellow_col_circle/25.png
0,1,res/input/hard_4_row_yellow_col_circle/95.png,res/AI/hard_4_row_yellow_col_circle/95.png,res/xai_shap/hard_4_row_yellow_col_circle/95.png,res/xai_cf/hard_4_row_yellow_col_circle/95.png
1,1,res/input/hard_4_row_yellow_col_circle/48.png,res/AI/hard_4_row_yellow_col_circle/48.png,res/xai_shap/hard_4_row_yellow_col_circle/48.png,res/xai_cf/hard_4_row_yellow_col_circle/48.png
1,1,res/input/hard_4_row_yellow_col_circle/72.png,res/AI/hard_4_row_yellow_col_circle/72.png,res/xai_shap/hard_4_row_yellow_col_circle/72.png,res/xai_cf/hard_4_row_yellow_col_circle/72.png
0,0,res/input/hard_4_row_yellow_col_circle/50.png,res/AI/hard_4_row_yellow_col_circle/50.png,res/xai_shap/hard_4_row_yellow_col_circle/50.png,res/xai_cf/hard_4_row_yellow_col_circle/50.png
1,1,res/input/hard_4_row_yellow_col_circle/54.png,res/AI/hard_4_row_yellow_col_circle/54.png,res/xai_shap/hard_4_row_yellow_col_circle/54.png,res/xai_cf/hard_4_row_yellow_col_circle/54.png
1,1,res/input/hard_4_row_yellow_col_circle/91.png,res/AI/hard_4_row_yellow_col_circle/91.png,res/xai_shap/hard_4_row_yellow_col_circle/91.png,res/xai_cf/hard_4_row_yellow_col_circle/91.png
