target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,57,res/input/hard_5_purple_triangle_plus_square_7/57.png,res/AI/hard_5_purple_triangle_plus_square_7/57.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/57.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/57.png
0,0,68,res/input/hard_5_purple_triangle_plus_square_7/68.png,res/AI/hard_5_purple_triangle_plus_square_7/68.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/68.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/68.png
1,1,99,res/input/hard_5_purple_triangle_plus_square_7/99.png,res/AI/hard_5_purple_triangle_plus_square_7/99.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/99.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/99.png
1,1,89,res/input/hard_5_purple_triangle_plus_square_7/89.png,res/AI/hard_5_purple_triangle_plus_square_7/89.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/89.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/89.png
0,0,15,res/input/hard_5_purple_triangle_plus_square_7/15.png,res/AI/hard_5_purple_triangle_plus_square_7/15.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/15.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/15.png
0,0,47,res/input/hard_5_purple_triangle_plus_square_7/47.png,res/AI/hard_5_purple_triangle_plus_square_7/47.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/47.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/47.png
1,0,73,res/input/hard_5_purple_triangle_plus_square_7/73.png,res/AI/hard_5_purple_triangle_plus_square_7/73.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/73.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/73.png
1,1,2,res/input/hard_5_purple_triangle_plus_square_7/2.png,res/AI/hard_5_purple_triangle_plus_square_7/2.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/2.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/2.png
0,0,11,res/input/hard_5_purple_triangle_plus_square_7/11.png,res/AI/hard_5_purple_triangle_plus_square_7/11.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/11.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/11.png
1,1,3,res/input/hard_5_purple_triangle_plus_square_7/3.png,res/AI/hard_5_purple_triangle_plus_square_7/3.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/3.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/3.png
0,0,69,res/input/hard_5_purple_triangle_plus_square_7/69.png,res/AI/hard_5_purple_triangle_plus_square_7/69.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/69.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/69.png
0,1,60,res/input/hard_5_purple_triangle_plus_square_7/60.png,res/AI/hard_5_purple_triangle_plus_square_7/60.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/60.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/60.png
1,1,63,res/input/hard_5_purple_triangle_plus_square_7/63.png,res/AI/hard_5_purple_triangle_plus_square_7/63.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/63.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/63.png
1,1,91,res/input/hard_5_purple_triangle_plus_square_7/91.png,res/AI/hard_5_purple_triangle_plus_square_7/91.png,res/xai_shap/hard_5_purple_triangle_plus_square_7/91.png,res/xai_cf/hard_5_purple_triangle_plus_square_7/91.png
