target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,74,res/input/hard_6_blue_circles_times2_triangles/74.png,res/AI/hard_6_blue_circles_times2_triangles/74.png,res/xai_shap/hard_6_blue_circles_times2_triangles/74.png,res/xai_cf/hard_6_blue_circles_times2_triangles/74.png
0,0,61,res/input/hard_6_blue_circles_times2_triangles/61.png,res/AI/hard_6_blue_circles_times2_triangles/61.png,res/xai_shap/hard_6_blue_circles_times2_triangles/61.png,res/xai_cf/hard_6_blue_circles_times2_triangles/61.png
1,1,3,res/input/hard_6_blue_circles_times2_triangles/3.png,res/AI/hard_6_blue_circles_times2_triangles/3.png,res/xai_shap/hard_6_blue_circles_times2_triangles/3.png,res/xai_cf/hard_6_blue_circles_times2_triangles/3.png
1,1,24,res/input/hard_6_blue_circles_times2_triangles/24.png,res/AI/hard_6_blue_circles_times2_triangles/24.png,res/xai_shap/hard_6_blue_circles_times2_triangles/24.png,res/xai_cf/hard_6_blue_circles_times2_triangles/24.png
0,0,42,res/input/hard_6_blue_circles_times2_triangles/42.png,res/AI/hard_6_blue_circles_times2_triangles/42.png,res/xai_shap/hard_6_blue_circles_times2_triangles/42.png,res/xai_cf/hard_6_blue_circles_times2_triangles/42.png
1,1,63,res/input/hard_6_blue_circles_times2_triangles/63.png,res/AI/hard_6_blue_circles_times2_triangles/63.png,res/xai_shap/hard_6_blue_circles_times2_triangles/63.png,res/xai_cf/hard_6_blue_circles_times2_triangles/63.png
0,1,68,res/input/hard_6_blue_circles_times2_triangles/68.png,res/AI/hard_6_blue_circles_times2_triangles/68.png,res/xai_shap/hard_6_blue_circles_times2_triangles/68.png,res/xai_cf/hard_6_blue_circles_times2_triangles/68.png
1,1,38,res/input/hard_6_blue_circles_times2_triangles/38.png,res/AI/hard_6_blue_circles_times2_triangles/38.png,res/xai_shap/hard_6_blue_circles_times2_triangles/38.png,res/xai_cf/hard_6_blue_circles_times2_triangles/38.png
1,1,14,res/input/hard_6_blue_circles_times2_triangles/14.png,res/AI/hard_6_blue_circles_times2_triangles/14.png,res/xai_shap/hard_6_blue_circles_times2_triangles/14.png,res/xai_cf/hard_6_blue_circles_times2_triangles/14.png
0,0,75,res/input/hard_6_blue_circles_times2_triangles/75.png,res/AI/hard_6_blue_circles_times2_triangles/75.png,res/xai_shap/hard_6_blue_circles_times2_triangles/75.png,res/xai_cf/hard_6_blue_circles_times2_triangles/75.png
0,0,69,res/input/hard_6_blue_circles_times2_triangles/69.png,res/AI/hard_6_blue_circles_times2_triangles/69.png,res/xai_shap/hard_6_blue_circles_times2_triangles/69.png,res/xai_cf/hard_6_blue_circles_times2_triangles/69.png
0,0,44,res/input/hard_6_blue_circles_times2_triangles/44.png,res/AI/hard_6_blue_circles_times2_triangles/44.png,res/xai_shap/hard_6_blue_circles_times2_triangles/44.png,res/xai_cf/hard_6_blue_circles_times2_triangles/44.png
1,1,30,res/input/hard_6_blue_circles_times2_triangles/30.png,res/AI/hard_6_blue_circles_times2_triangles/30.png,res/xai_shap/hard_6_blue_circles_times2_triangles/30.png,res/xai_cf/hard_6_blue_circles_times2_triangles/30.png
0,1,79,res/input/hard_6_blue_circles_times2_triangles/79.png,res/AI/hard_6_blue_circles_times2_triangles/79.png,res/xai_shap/hard_6_blue_circles_times2_triangles/79.png,res/xai_cf/hard_6_blue_circles_times2_triangles/79.png
