target,pred,og_idx,source,AI,xai_shap,xai_cf
0,0,13,res/input/med2_yellow_square_N/13.png,res/AI/med2_yellow_square_N/13.png,res/xai_shap/med2_yellow_square_N/13.png,res/xai_cf/med2_yellow_square_N/13.png
1,1,32,res/input/med2_yellow_square_N/32.png,res/AI/med2_yellow_square_N/32.png,res/xai_shap/med2_yellow_square_N/32.png,res/xai_cf/med2_yellow_square_N/32.png
0,0,27,res/input/med2_yellow_square_N/27.png,res/AI/med2_yellow_square_N/27.png,res/xai_shap/med2_yellow_square_N/27.png,res/xai_cf/med2_yellow_square_N/27.png
0,1,20,res/input/med2_yellow_square_N/20.png,res/AI/med2_yellow_square_N/20.png,res/xai_shap/med2_yellow_square_N/20.png,res/xai_cf/med2_yellow_square_N/20.png
1,1,29,res/input/med2_yellow_square_N/29.png,res/AI/med2_yellow_square_N/29.png,res/xai_shap/med2_yellow_square_N/29.png,res/xai_cf/med2_yellow_square_N/29.png
1,1,42,res/input/med2_yellow_square_N/42.png,res/AI/med2_yellow_square_N/42.png,res/xai_shap/med2_yellow_square_N/42.png,res/xai_cf/med2_yellow_square_N/42.png
1,1,30,res/input/med2_yellow_square_N/30.png,res/AI/med2_yellow_square_N/30.png,res/xai_shap/med2_yellow_square_N/30.png,res/xai_cf/med2_yellow_square_N/30.png
0,1,22,res/input/med2_yellow_square_N/22.png,res/AI/med2_yellow_square_N/22.png,res/xai_shap/med2_yellow_square_N/22.png,res/xai_cf/med2_yellow_square_N/22.png
1,1,15,res/input/med2_yellow_square_N/15.png,res/AI/med2_yellow_square_N/15.png,res/xai_shap/med2_yellow_square_N/15.png,res/xai_cf/med2_yellow_square_N/15.png
0,0,46,res/input/med2_yellow_square_N/46.png,res/AI/med2_yellow_square_N/46.png,res/xai_shap/med2_yellow_square_N/46.png,res/xai_cf/med2_yellow_square_N/46.png
1,1,41,res/input/med2_yellow_square_N/41.png,res/AI/med2_yellow_square_N/41.png,res/xai_shap/med2_yellow_square_N/41.png,res/xai_cf/med2_yellow_square_N/41.png
0,0,1,res/input/med2_yellow_square_N/1.png,res/AI/med2_yellow_square_N/1.png,res/xai_shap/med2_yellow_square_N/1.png,res/xai_cf/med2_yellow_square_N/1.png
