target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,5,res/input/med4_blue_triangle_N/5.png,res/AI/med4_blue_triangle_N/5.png,res/xai_shap/med4_blue_triangle_N/5.png,res/xai_cf/med4_blue_triangle_N/5.png
1,0,6,res/input/med4_blue_triangle_N/6.png,res/AI/med4_blue_triangle_N/6.png,res/xai_shap/med4_blue_triangle_N/6.png,res/xai_cf/med4_blue_triangle_N/6.png
1,1,7,res/input/med4_blue_triangle_N/7.png,res/AI/med4_blue_triangle_N/7.png,res/xai_shap/med4_blue_triangle_N/7.png,res/xai_cf/med4_blue_triangle_N/7.png
0,0,35,res/input/med4_blue_triangle_N/35.png,res/AI/med4_blue_triangle_N/35.png,res/xai_shap/med4_blue_triangle_N/35.png,res/xai_cf/med4_blue_triangle_N/35.png
0,1,25,res/input/med4_blue_triangle_N/25.png,res/AI/med4_blue_triangle_N/25.png,res/xai_shap/med4_blue_triangle_N/25.png,res/xai_cf/med4_blue_triangle_N/25.png
0,0,10,res/input/med4_blue_triangle_N/10.png,res/AI/med4_blue_triangle_N/10.png,res/xai_shap/med4_blue_triangle_N/10.png,res/xai_cf/med4_blue_triangle_N/10.png
0,0,1,res/input/med4_blue_triangle_N/1.png,res/AI/med4_blue_triangle_N/1.png,res/xai_shap/med4_blue_triangle_N/1.png,res/xai_cf/med4_blue_triangle_N/1.png
1,1,8,res/input/med4_blue_triangle_N/8.png,res/AI/med4_blue_triangle_N/8.png,res/xai_shap/med4_blue_triangle_N/8.png,res/xai_cf/med4_blue_triangle_N/8.png
1,1,43,res/input/med4_blue_triangle_N/43.png,res/AI/med4_blue_triangle_N/43.png,res/xai_shap/med4_blue_triangle_N/43.png,res/xai_cf/med4_blue_triangle_N/43.png
0,0,13,res/input/med4_blue_triangle_N/13.png,res/AI/med4_blue_triangle_N/13.png,res/xai_shap/med4_blue_triangle_N/13.png,res/xai_cf/med4_blue_triangle_N/13.png
1,1,0,res/input/med4_blue_triangle_N/0.png,res/AI/med4_blue_triangle_N/0.png,res/xai_shap/med4_blue_triangle_N/0.png,res/xai_cf/med4_blue_triangle_N/0.png
0,0,20,res/input/med4_blue_triangle_N/20.png,res/AI/med4_blue_triangle_N/20.png,res/xai_shap/med4_blue_triangle_N/20.png,res/xai_cf/med4_blue_triangle_N/20.png
