target,pred,og_idx,source,AI,xai_shap,xai_cf
1,1,8,res/input/med5_find_pattern/8.png,res/AI/med5_find_pattern/8.png,res/xai_shap/med5_find_pattern/8.png,res/xai_cf/med5_find_pattern/8.png
0,0,31,res/input/med5_find_pattern/31.png,res/AI/med5_find_pattern/31.png,res/xai_shap/med5_find_pattern/31.png,res/xai_cf/med5_find_pattern/31.png
0,0,20,res/input/med5_find_pattern/20.png,res/AI/med5_find_pattern/20.png,res/xai_shap/med5_find_pattern/20.png,res/xai_cf/med5_find_pattern/20.png
1,1,24,res/input/med5_find_pattern/24.png,res/AI/med5_find_pattern/24.png,res/xai_shap/med5_find_pattern/24.png,res/xai_cf/med5_find_pattern/24.png
1,0,21,res/input/med5_find_pattern/21.png,res/AI/med5_find_pattern/21.png,res/xai_shap/med5_find_pattern/21.png,res/xai_cf/med5_find_pattern/21.png
0,0,14,res/input/med5_find_pattern/14.png,res/AI/med5_find_pattern/14.png,res/xai_shap/med5_find_pattern/14.png,res/xai_cf/med5_find_pattern/14.png
1,1,7,res/input/med5_find_pattern/7.png,res/AI/med5_find_pattern/7.png,res/xai_shap/med5_find_pattern/7.png,res/xai_cf/med5_find_pattern/7.png
0,0,35,res/input/med5_find_pattern/35.png,res/AI/med5_find_pattern/35.png,res/xai_shap/med5_find_pattern/35.png,res/xai_cf/med5_find_pattern/35.png
0,1,27,res/input/med5_find_pattern/27.png,res/AI/med5_find_pattern/27.png,res/xai_shap/med5_find_pattern/27.png,res/xai_cf/med5_find_pattern/27.png
1,1,2,res/input/med5_find_pattern/2.png,res/AI/med5_find_pattern/2.png,res/xai_shap/med5_find_pattern/2.png,res/xai_cf/med5_find_pattern/2.png
0,0,37,res/input/med5_find_pattern/37.png,res/AI/med5_find_pattern/37.png,res/xai_shap/med5_find_pattern/37.png,res/xai_cf/med5_find_pattern/37.png
1,1,45,res/input/med5_find_pattern/45.png,res/AI/med5_find_pattern/45.png,res/xai_shap/med5_find_pattern/45.png,res/xai_cf/med5_find_pattern/45.png
